主题,内容,日期,发布单位
关于举办2024年度表彰大会的通知,兹定于2024年12月30日上午9:00在市会议中心举办2024年度表彰大会,请各部门组织员工准时参加,会议期间请保持安静,2024-12-15,市教育局
关于寒假工作安排的通知,根据学校工作安排,2024年寒假时间为2025年1月15日至2月15日,请各部门做好假期工作交接,2024-12-10,市教育局
关于开展安全大检查的通知,为确保校园安全,定于本周五开展全校安全大检查,请各部门提前做好准备,2024-12-05,市教育局
关于2025年春季招生的通知,2025年春季招生工作即将启动,有意向报名的学生请于12月20日前完成报名手续,2024-12-01,市教育局
关于元旦放假安排的通知,根据国家法定节假日规定,2025年元旦放假时间为1月1日,共一天,2024-11-25,市教育局
关于举办教师培训的通知,为提升教师专业能力,定于下月开展为期一周的教师培训工作,请相关教师准时参加,2024-11-20,市教育局
关于校园卫生检查的通知,为创建整洁校园环境,本周将开展卫生专项检查,请各班级保持教室清洁,2024-11-15,市教育局
关于冬季供暖工作的通知,冬季供暖工作将于11月15日正式启动,请各部门做好配合工作,2024-11-10,市教育局
关于秋季运动会的通知,2024年秋季运动会将于10月20日至22日举行,请各班级积极组织参赛,2024-10-10,市教育局
关于中秋节放假安排的通知,根据国家法定节假日规定,中秋节放假时间为9月15日至9月17日,共三天,2024-09-10,市教育局
